episode,reward,pdr
1385,4.5,1
1386,17.0,1
1387,14.5,1
1388,17.0,1
1389,17.0,1
1390,17.0,1
1391,2.0,1
1392,4.5,1
1393,14.5,1
1394,17.0,1
1395,14.5,1
1396,7.0,1
1397,7.0,1
1398,19.5,1
1399,-3.0,0
1400,-15.5,0
1401,14.5,1
1402,14.5,1
1403,17.0,1
1404,14.5,1
1405,19.5,1
1406,9.5,1
1407,14.5,1
1408,-10.5,0
1409,19.5,1
1410,17.0,1
1411,17.0,1
1412,12.0,1
1413,17.0,1
1414,17.0,1
1415,4.5,1
1416,14.5,1
1417,17.0,1
1418,17.0,1
1419,17.0,1
1420,17.0,1
1421,17.0,1
1422,14.5,1
1423,17.0,1
1424,17.0,1
1425,17.0,1
1426,14.5,1
1427,14.5,1
1428,17.0,1
1429,14.5,1
1430,19.5,1
1431,14.5,1
1432,17.0,1
1433,14.5,1
1434,-15.5,0
1435,17.0,1
1436,17.0,1
1437,17.0,1
1438,-0.5,0
1439,17.0,1
1440,17.0,1
1441,17.0,1
1442,17.0,1
1443,-3.0,0
1444,14.5,1
1445,2.0,1
1446,-28.0,0
1447,17.0,1
1448,14.5,1
1449,19.5,1
1450,19.5,1
1451,17.0,1
1452,14.5,1
1453,17.0,1
1454,17.0,1
1455,19.5,1
1456,-5.5,0
1457,17.0,1
1458,19.5,1
1459,14.5,1
1460,14.5,1
1461,14.5,1
1462,14.5,1
1463,-10.5,0
1464,9.5,1
1465,14.5,1
1466,17.0,1
1467,19.5,1
1468,14.5,1
1469,17.0,1
1470,17.0,1
1471,17.0,1
1472,2.0,1
1473,14.5,1
1474,12.0,1
1475,17.0,1
1476,17.0,1
1477,9.5,1
1478,4.5,1
1479,17.0,1
1480,19.5,1
1481,14.5,1
1482,14.5,1
1483,7.0,1
1484,14.5,1
1485,17.0,1
1486,17.0,1
1487,19.5,1
1488,-43.0,0
1489,17.0,1
1490,-0.5,0
1491,14.5,1
1492,14.5,1
1493,14.5,1
1494,-43.0,0
1495,17.0,1
1496,7.0,1
1497,17.0,1
1498,19.5,1
1499,17.0,1
1500,19.5,1
1501,19.5,1
1502,17.0,1
1503,-15.5,0
1504,14.5,1
1505,14.5,1
1506,17.0,1
1507,19.5,1
1508,17.0,1
1509,2.0,1
1510,17.0,1
1511,14.5,1
1512,-3.0,0
1513,19.5,1
1514,14.5,1
1515,19.5,1
1516,17.0,1
1517,14.5,1
1518,14.5,1
1519,14.5,1
1520,17.0,1
1521,17.0,1
1522,14.5,1
1523,17.0,1
1524,17.0,1
1525,17.0,1
1526,17.0,1
1527,17.0,1
1528,17.0,1
1529,12.0,1
1530,17.0,1
1531,17.0,1
1532,-10.5,0
1533,14.5,1
1534,19.5,1
1535,17.0,1
1536,17.0,1
1537,7.0,1
1538,14.5,1
1539,2.0,1
1540,14.5,1
1541,14.5,1
1542,14.5,1
1543,14.5,1
1544,17.0,1
1545,14.5,1
1546,17.0,1
1547,17.0,1
1548,17.0,1
1549,17.0,1
1550,17.0,1
1551,17.0,1
1552,17.0,1
1553,17.0,1
1554,17.0,1
1555,14.5,1
1556,17.0,1
1557,14.5,1
1558,19.5,1
1559,14.5,1
1560,17.0,1
1561,17.0,1
1562,17.0,1
1563,17.0,1
1564,19.5,1
1565,17.0,1
1566,17.0,1
1567,14.5,1
1568,17.0,1
1569,17.0,1
1570,17.0,1
1571,14.5,1
1572,17.0,1
1573,19.5,1
1574,-10.5,0
1575,14.5,1
1576,17.0,1
1577,12.0,1
1578,14.5,1
1579,14.5,1
1580,17.0,1
1581,17.0,1
1582,19.5,1
1583,17.0,1
1584,-10.5,0
1585,14.5,1
1586,-3.0,0
1587,19.5,1
1588,19.5,1
1589,17.0,1
1590,-10.5,0
1591,17.0,1
1592,17.0,1
1593,17.0,1
1594,17.0,1
1595,14.5,1
1596,17.0,1
1597,17.0,1
1598,14.5,1
1599,17.0,1
1600,17.0,1
1601,-33.0,0
1602,19.5,1
1603,17.0,1
1604,19.5,1
1605,17.0,1
1606,17.0,1
1607,-35.5,0
1608,12.0,1
1609,17.0,1
1610,17.0,1
1611,19.5,1
1612,-8.0,0
1613,17.0,1
1614,4.5,1
1615,-3.0,0
1616,14.5,1
1617,19.5,1
1618,19.5,1
1619,17.0,1
1620,-0.5,0
1621,17.0,1
1622,17.0,1
1623,17.0,1
1624,14.5,1
1625,-5.5,0
1626,19.5,1
1627,19.5,1
1628,17.0,1
1629,7.0,1
1630,9.5,1
1631,14.5,1
1632,14.5,1
1633,17.0,1
1634,19.5,1
1635,17.0,1
1636,17.0,1
1637,-13.0,0
1638,14.5,1
1639,14.5,1
1640,19.5,1
1641,17.0,1
1642,-0.5,0
1643,17.0,1
1644,17.0,1
1645,9.5,1
1646,17.0,1
1647,14.5,1
1648,17.0,1
1649,14.5,1
1650,14.5,1
1651,17.0,1
