delivered,hops,delay
False,41,164.8
False,37,166.01999999999998
False,19,50.61000000000001
True,10,42.89
True,43,199.86999999999998
True,18,76.72
True,9,33.6
True,32,121.88
False,43,196.67000000000002
False,37,163.26999999999995
True,36,155.45999999999998
True,18,65.88
True,9,25.56
True,22,85.46000000000002
True,15,47.82000000000001
True,11,61.58
False,28,122.22000000000001
False,18,68.96
True,20,76.32
True,9,28.1
True,8,26.830000000000002
False,21,75.67
True,16,65.46
False,24,82.63
True,12,31.47
False,25,86.52
True,16,49.34
False,38,167.76000000000002
True,11,41.83
True,25,107.03999999999999
True,6,12.92
True,18,74.1
True,28,106.29999999999998
True,11,34.0
True,26,95.82999999999998
True,19,69.22000000000001
True,27,106.0
True,6,15.030000000000001
False,30,132.07999999999998
True,9,23.35
True,19,71.61000000000001
False,43,203.75999999999996
True,30,123.51999999999998
True,21,87.09
True,33,135.25999999999993
True,16,68.07
True,17,48.900000000000006
True,18,72.76
False,32,124.32000000000001
True,25,94.38000000000001
True,40,161.84000000000003
False,41,163.58
True,32,147.54999999999995
True,17,51.02000000000001
True,15,49.05999999999999
False,26,109.34000000000002
False,34,148.98999999999998
False,32,154.24
True,7,28.03
True,23,68.64999999999999
True,25,92.08
True,17,58.90999999999999
True,6,15.55
True,17,81.84
True,8,27.290000000000003
True,11,26.51
True,19,62.53999999999999
False,24,87.51999999999998
False,21,70.95
True,15,67.8
True,26,97.54999999999998
True,34,156.67999999999998
False,31,136.34
True,1,3.24
True,32,126.75000000000001
True,14,57.71000000000001
True,37,146.4
True,8,22.970000000000002
True,26,96.39
False,33,163.20000000000002
False,25,102.47
True,25,109.75999999999999
False,33,155.21
True,15,50.29
True,26,104.88
False,21,79.66000000000001
False,14,35.33
True,41,183.74
True,7,15.28
True,1,3.24
True,29,114.77999999999997
True,27,118.28
True,22,85.03000000000002
True,18,81.46
True,33,133.20999999999998
False,28,113.91999999999999
True,7,21.32
True,18,65.62
False,40,191.81
True,2,10.35
True,16,61.83
True,19,66.22
True,19,73.77999999999999
True,17,54.75999999999999
True,34,152.25000000000003
False,43,192.86000000000004
True,10,27.36
False,29,112.97000000000001
True,42,197.62
True,2,7.1
False,46,202.74999999999997
True,36,131.88999999999996
True,28,116.50999999999999
True,20,64.16999999999999
True,26,90.50999999999996
True,16,54.16
False,29,115.97
False,31,119.88
True,31,119.66999999999999
True,32,132.33
False,27,107.60999999999997
True,32,157.86
True,36,172.82000000000002
True,9,26.89
True,41,198.57999999999998
True,5,15.830000000000002
False,39,190.51999999999998
